Date,AAPL,AMZN,COP,CVX,GOOG,HES,INTC,ORCL,OXY,XOM
2014-01-02,17.215368270874023,19.898500442504883,48.31757354736328,77.36048889160156,27.593387603759766,67.60660552978516,19.178796768188477,31.815885543823242,63.7784309387207,62.18324279785156
2014-01-03,16.837221145629883,19.82200050354004,48.44219970703125,77.4913558959961,27.392101287841797,66.90653991699219,19.17136001586914,31.731538772583008,63.554176330566406,62.033599853515625
2014-01-06,16.92903709411621,19.681499481201172,48.64992904663086,77.28572845458984,27.6975040435791,66.60648345947266,18.933387756347656,31.605009078979492,63.74446105957031,62.127132415771484
2014-01-07,16.807966232299805,19.901500701904297,48.72611999511719,77.94005584716797,28.231462478637695,67.3899154663086,19.030061721801758,31.925525665283203,64.9337158203125,63.006099700927734
2014-01-08,16.914403915405273,20.09600067138672,48.2552375793457,76.8308334350586,28.29021453857422,68.08163452148438,18.911081314086914,31.815885543823242,64.41722869873047,62.80036544799805
2014-01-09,16.69840431213379,20.050500869750977,48.09599304199219,76.8308334350586,28.017778396606445,67.78997039794922,18.821842193603516,31.756845474243164,64.45122528076172,62.189456939697266
2014-01-10,16.58698844909668,19.882999420166016,47.68745803833008,75.40998840332031,28.016292572021484,67.42324829101562,18.98544692993164,32.144840240478516,63.7784309387207,62.663230895996094
2014-01-13,16.6738224029541,19.548999786376953,46.905006408691406,74.31318664550781,27.837810516357422,65.7314224243164,18.963125228881836,31.841182708740234,62.208614349365234,61.435176849365234
2014-01-14,17.00559425354004,19.87700080871582,47.30663299560547,74.51262664794922,28.492740631103516,66.28147888183594,19.714223861694336,32.22918701171875,62.731895446777344,61.790489196777344
2014-01-15,17.34701919555664,19.793500900268555,47.14045715332031,74.26957702636719,28.473405838012695,64.73131561279297,19.833209991455078,32.39786911010742,62.15423583984375,61.57853698730469
2014-01-16,17.25023078918457,19.790000915527344,46.96733093261719,74.05146789550781,28.66180419921875,64.77301788330078,19.736536026000977,32.29667282104492,62.364898681640625,61.67829132080078
2014-01-17,16.82756996154785,19.980499267578125,46.74574661254883,74.33814239501953,28.520753860473633,64.28126525878906,19.223411560058594,32.22918701171875,61.54941177368164,61.81544494628906
2014-01-21,17.08901596069336,20.352500915527344,47.265079498291016,75.00492095947266,28.847227096557617,64.93965911865234,19.030061721801758,32.144840240478516,61.14167404174805,61.40399169921875
2014-01-22,17.164947509765625,20.226999282836914,47.341243743896484,75.04853057861328,28.87995147705078,65.10635375976562,18.821842193603516,32.035186767578125,61.81443405151367,61.01749801635742
2014-01-23,17.310300827026367,19.993499755859375,46.98118209838867,73.7772445678711,28.757986068725586,64.50630950927734,18.68797492980957,32.17857360839844,60.76790237426758,60.45020294189453
2014-01-24,16.99563217163086,19.3799991607666,46.094871520996094,72.46862030029297,27.8588809967041,63.54789352416992,18.450010299682617,31.301353454589844,59.802894592285156,59.128631591796875
2014-01-27,17.133512496948242,19.31399917602539,45.60325622558594,72.55583190917969,27.298643112182617,62.98950958251953,18.38308334350586,30.778406143188477,59.18449020385742,59.1722526550293
2014-01-28,15.764078140258789,19.721500396728516,45.84560012817383,72.81136322021484,27.838552474975586,64.00625610351562,18.51694107055664,31.292922973632812,60.01359558105469,59.62733459472656
2014-01-29,15.585123062133789,19.209999084472656,45.5755729675293,72.28789520263672,27.439693450927734,64.22290802001953,18.35334014892578,31.183290481567383,59.68056106567383,59.29070281982422
2014-01-30,15.55492115020752,20.15049934387207,45.5270881652832,72.56831359863281,28.145444869995117,63.78122329711914,18.39795684814453,31.54597282409668,60.006771087646484,58.592506408691406
2014-01-31,15.580451965332031,17.934499740600586,44.97314453125,69.56462860107422,29.27533721923828,62.914459228515625,18.249231338500977,31.124237060546875,59.51069259643555,57.451698303222656
2014-02-03,15.609387397766113,17.3075008392334,44.218406677246094,69.2592544555664,28.096858978271484,61.60601806640625,17.81047821044922,30.230148315429688,59.28642654418945,56.13633728027344
2014-02-04,15.835351943969727,17.397499084472656,44.11455154418945,69.06609344482422,28.214113235473633,62.30608367919922,17.713796615600586,30.331361770629883,59.21846008300781,56.117618560791016
2014-02-05,15.95362663269043,17.322500228881836,43.94144058227539,68.24972534179688,28.339048385620117,62.222740173339844,17.657493591308594,30.32292366027832,59.32038879394531,55.84334945678711
2014-02-06,16.046613693237305,17.72949981689453,44.523067474365234,69.34028625488281,28.7545166015625,63.5978889465332,18.010337829589844,30.97240447998047,60.12910461425781,56.37699508666992
